ID,Score,Title,Company,Industry,Location,Role Type,Status,URL,Recommendation,Reasoning,Discovered Date,Applied Date,Notes
2,68,"Director / Senior Principal AI SoC Validation (Bring-up lead)Multiple Vacancies Available\\ \\ Engineering - SiliconBengaluru, India",Graphcore,AI Hardware,Bengaluru,VC,new,https://job-boards.greenhouse.io/graphcore/jobs/8286166002,CONSIDER,Scored 68/100. VC role - matches target,2026-02-15T19:47:23.377136,,
1,55,"Senior Technical Program Manager, Post Silicon Validation and Bring-UpMultiple Vacancies Available\\ \\ Engineering - Programme ManagementAustin, Texas, United States",Graphcore,AI Hardware,Austin,PM,new,https://job-boards.greenhouse.io/graphcore/jobs/8323789002,SKIP,Scored 55/100. Program Manager role - matches target,2026-02-15T19:47:08.697357,,
